user,timestampUsec,time,authorbadge,text,purchaseAmount,type,video_id,Chat_No
まんまるぷぅ,1606405602200123,1:08:44,,砂糖中毒,,NORMALCHAT,yZ40z915c_Q,1925
ゆか,1606405603098292,1:08:45,,菓子はうまいポテチポッキー,,NORMALCHAT,yZ40z915c_Q,1926
Bird's tale by Yoh_zo,1606405607816456,1:08:50,,どうなってるんだ？ 伏せ？,,NORMALCHAT,yZ40z915c_Q,1927
はに〇,1606405609452656,1:08:51,,0 0 さん、自重でも、１００回はすごいね！,,NORMALCHAT,yZ40z915c_Q,1928
ネコヨメ,1606405610951753,1:08:53,,ライブありがとうございます,,NORMALCHAT,yZ40z915c_Q,1929
なるにゃんdd,1606405611416163,1:08:53,,おやつ！ポテチ,,NORMALCHAT,yZ40z915c_Q,1930
Mカフェ,1606405616661628,1:08:59,,家に置かないこと,,NORMALCHAT,yZ40z915c_Q,1931
tea mana,1606405618349986,1:09:00,,お菓子買い置きしないなー ヨーグルトくらい,,NORMALCHAT,yZ40z915c_Q,1932
くるみ。,1606405619089851,1:09:01,メンバー（1 か月）,くるみがいいですね??,,NORMALCHAT,yZ40z915c_Q,1933
たいさ,1606405619177808,1:09:01,,ヒモとして2年間生きてたのですが、ずっと働いていなかったのでなにから始めたらいいのかわかりません。バイトをしようと思うのですが、アドバイスお願いします,"￥3,060",SUPERCHAT,yZ40z915c_Q,1934
前世,1606405624011884,1:09:06,,yoh73422さん お役に立てそうで嬉しいです?,,NORMALCHAT,yZ40z915c_Q,1935
白猫3兄弟しゅうぶん,1606405627512905,1:09:09,新規メンバー,食べたい時にわざわざ買いに行くくらいがちょうどよい,,NORMALCHAT,yZ40z915c_Q,1936
散歩道,1606405633277195,1:09:15,,『この一口がブタのもと』面白かった,,NORMALCHAT,yZ40z915c_Q,1937
なるにゃんdd,1606405634529294,1:09:16,,チョコレート?,,NORMALCHAT,yZ40z915c_Q,1938
かりんとう,1606405635357683,1:09:17,,一回健康な生活して、自分が変わったなって思うと、割と自分を止められるようになった,,NORMALCHAT,yZ40z915c_Q,1939
kiu,1606405635799632,1:09:18,メンバー（4 か月）,辛いのは一週間とかですよ、やめたら食べたくなくなる,,NORMALCHAT,yZ40z915c_Q,1940
Mカフェ,1606405637562526,1:09:19,,おやつは鯖缶です,,NORMALCHAT,yZ40z915c_Q,1941
七変化,1606405638225203,1:09:20,,習慣化…？,,NORMALCHAT,yZ40z915c_Q,1942
くるみ。,1606405638586201,1:09:20,メンバー（1 か月）,確かに！！,,NORMALCHAT,yZ40z915c_Q,1943
Sakuchan E,1606405642132491,1:09:24,メンバー（1 年 5 か月）,数字がすぐ出てくるのがすごいです師匠,,NORMALCHAT,yZ40z915c_Q,1944
伊藤ひろし,1606405642465828,1:09:24,,お酒のためにお菓子を拒んでるなー,,NORMALCHAT,yZ40z915c_Q,1945
ayako terayama*寺山 文子*,1606405643688823,1:09:25,メンバー（7 か月）,お座りぬこ様?,,NORMALCHAT,yZ40z915c_Q,1946
Bird's tale by Yoh_zo,1606405649988512,1:09:32,,雲母さん?,,NORMALCHAT,yZ40z915c_Q,1947
maya,1606405650408663,1:09:32,,継続できることかぁ,,NORMALCHAT,yZ40z915c_Q,1948
meow,1606405652189016,1:09:34,,チョコしまっとこ,,NORMALCHAT,yZ40z915c_Q,1949
Yu kie,1606405653185436,1:09:35,メンバー（3 か月）,やる気がなくても、ただやる,,NORMALCHAT,yZ40z915c_Q,1950
koko_dayo,1606405654242055,1:09:36,,かっけー,,NORMALCHAT,yZ40z915c_Q,1951
SA TO,1606405658596198,1:09:40,,素敵です！,,NORMALCHAT,yZ40z915c_Q,1952
ぐみ,1606405659568844,1:09:41,,お菓子我慢できない～ポテチはやめたけど,,NORMALCHAT,yZ40z915c_Q,1953
Kazuki Saijo,1606405667332974,1:09:49,,なくてもできること,,NORMALCHAT,yZ40z915c_Q,1954
桃太郎侍,1606405669545373,1:09:51,,台湾政府は政治家が医療従事者,,NORMALCHAT,yZ40z915c_Q,1955
ステラファーマ,1606405670359881,1:09:52,,株あがるかな？,,NORMALCHAT,yZ40z915c_Q,1956
kiu,1606405670999761,1:09:53,メンバー（4 か月）,良かったですね,,NORMALCHAT,yZ40z915c_Q,1957
miu,1606405671985285,1:09:54,,なくても出来る方法?,,NORMALCHAT,yZ40z915c_Q,1958
白猫3兄弟しゅうぶん,1606405677266747,1:09:59,新規メンバー,うんうん、そう思う,,NORMALCHAT,yZ40z915c_Q,1959
Gacky channel,1606405678760752,1:10:01,,ダイゴさん次いつフランス行く予定ですか？,,NORMALCHAT,yZ40z915c_Q,1960
_ feg,1606405680053975,1:10:02,,失礼します！ダイゴさんから見て、認知症についてどう思われますか？アプローチのヒントがあれば下さいぃ,￥610,SUPERCHAT,yZ40z915c_Q,1961
Eriko Enatsu,1606405680449777,1:10:02,,ありがとうございます！,,NORMALCHAT,yZ40z915c_Q,1962
co co,1606405687093128,1:10:09,,地方医学生です。周りの人が個性的な人が多くて自分に合う人がおらず精神的にしんどいです。この先どう人間関係を歩めばいいでしょうか。,"￥3,060",SUPERCHAT,yZ40z915c_Q,1963
tea mana,1606405689994975,1:10:12,,ぬこ様フカフカ?,,NORMALCHAT,yZ40z915c_Q,1964
ちゃらあい,1606405691707956,1:10:14,モデレーター,質問が増えてくると時間で消えてしまうのでタイミング良く投げるか金額を確認して投げるのがおすすめです。【固定時間目安】500～999円 2分1000～1999円 5分2000～4999円 10分5000～9999円 30分10000～19999円 1時間,,NORMALCHAT,yZ40z915c_Q,1965
散歩道,1606405692796478,1:10:15,,ぬこさま、後ろ、可愛すぎる,,NORMALCHAT,yZ40z915c_Q,1966
Bird's tale by Yoh_zo,1606405698943610,1:10:21,,ぬこさんの愛らしさ,,NORMALCHAT,yZ40z915c_Q,1967
maya,1606405701155912,1:10:23,,なるほど?,,NORMALCHAT,yZ40z915c_Q,1968
白猫3兄弟しゅうぶん,1606405707069786,1:10:29,新規メンバー,音消して画面伏せて置くとかもオススメ,,NORMALCHAT,yZ40z915c_Q,1969
DEMENT,1606405713290007,1:10:35,,すごい,,NORMALCHAT,yZ40z915c_Q,1970
なるにゃんdd,1606405714480189,1:10:36,,携帯依存症ぴえーん?,,NORMALCHAT,yZ40z915c_Q,1971
ヤギミノル,1606405715782754,1:10:38,モデレーター,??質問は3行以内にまとめてください,,NORMALCHAT,yZ40z915c_Q,1972
Makkiまっきー,1606405725382133,1:10:47,,元々夜型で朝起きるが苦手なタイプなんですが、生活習慣が乱れてしまっています。質は問題ないんですが、どうしたら夜眠れるようになりますか？,"￥2,000",SUPERCHAT,yZ40z915c_Q,1973
saori nakagawa,1606405725409063,1:10:47,,ぬこさん,,NORMALCHAT,yZ40z915c_Q,1974
