videoId,title,description,publishedAt
2mEEtABCVVg,グーパー猫,猫アメショーです。。 この子はお腹を触ると気持ちよくて前足をグーパーグーパーするのです。。カワイイ。。。 友だちの家の猫なんですが。。 おとなしくて人懐こくて最高です。。,2008-06-11T16:25:18Z
ecRSQueIbqo,全開ブルンブルン。。体幹編。。。,自動車トレーニングその２。。 車を横スライドさせて。。 体幹を。。 ガッチリ鍛えます。。。 恐ろしい負荷がかかるので。。 素人の皆様は控えてください。。 プロの方は慎重に。。,2008-08-06T07:01:34Z
STgEk8OBnww,全開ブルンブルン。。。,最近は。。 自動車を使ったトレーニングが。。 武井のブームです。。。 あぁ。。気持ちいぃ。。。,2008-08-06T06:58:24Z
ZX9PoQfe2L0,全開おかえりなさい。。,イギリスで借りてるお家で。。 バーベキュー食いすぎたので。。。 食後の運動をしてました。。,2008-07-19T20:17:25Z
-7mOTrVvbvI,全開肩甲骨。。。,僕の肩甲骨は。。 いろんなモノを握れます。。 またタマゴくらいなら潰せます。。。 自由の動くので。。 おにぎりくらいは作れそうです。。 子供の頃。。 ジャッキーとブルースリー ...,2008-10-22T20:07:09Z
GXgFmnw3iA0,武井壮の１００m自己ベスト動画,１９９７年日本インカレ 10種競技優勝７５００点 １種目目１００m１０”５４ トップでゴールしているのが武井壮です.,2011-04-07T15:59:47Z
blOq0O2VQeM,全開ハンマー。。,全開でハンマーを振り下ろして。。 全身を鍛えるのさ。。 8キロね。。 男子ならこのくらいがーちょーどいー。。,2011-05-13T20:48:16Z
fw8c5g2H0xU,携帯電話からの動画,携帯電話からアップロードした動画.,2011-04-07T15:55:08Z
APAWrAlvRbs,武井壮VSリキシャ（インドタクシー）,インドではオレより足の速い奴が見つからなかった。。 無敗のオレはインドのタクシーから飛び降りて。。 運転手に挑戦状を叩きつけてやった。。。,2012-04-21T11:40:47Z
MKlFImtV-uM,全開ハンマー,全力でぶっ叩く。。それだけだ。。。。 男ならやっとけ。。,2012-04-30T08:50:01Z
NXw2H1tjYQc,全開サカダーツ。。,オレは逆立ちでもカウントアップ300点はイケる。。。,2012-04-30T08:59:07Z
